#Hinchliff CE, Roalson EH (2012) Data from: Using supermatrices for phylogenetic inquiry: an example using the sedges. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.6p76c3pb
#http://datadryad.org/bitstream/handle/10255/dryad.38186/cyp_states.csv

name,tropical
Carex_boryana,1
Carex_bostrychostigma,0
Carex_brachyanthera,1
Carex_brachycalama,1
Carex_brachystachys,0
Carex_bracteosa,0
Carex_bradei,1
Carex_brainerdii,0
Carex_brasiliensis,0
Carex_brassii,1
Carex_breviaristata,0
Carex_brevicollis,0
Carex_breviculmis,1
Carex_brevicuspis,0
Carex_breviscapa,1
Carex_breweri,0
Carex_brizoides,0
Carex_bromoides,0
Carex_brongniartii,0
Carex_brownii,1
Carex_brunnea,1
Carex_brunnipes,1
Carex_brysonii,0
Carex_buchananii,0
Carex_bucharica,0
Carex_buekii,0
Carex_bulbostylis,0
Carex_bullata,0
Carex_burchelliana,0
Carex_burttii,0
Carex_bushii,0
Carex_buxbaumii,0
Carex_caduca,0
Carex_caeligena,0
Carex_caespititia,0
Carex_calcicola,0
Carex_calcifugens,0
Carex_calcis,0
Carex_californica,0
Carex_callista,1
Carex_callitrichos,0
Carex_cambodiensis,1
Carex_camposii,0
Carex_campylorhina,0
Carex_canaliculata,0
Carex_canariensis,0
Carex_canescens,1
Carex_canina,0
Carex_capillacea,1
Carex_capillaris,0
Carex_capilliculmis,0
Carex_capilliformis,0
Carex_capitata,0
Carex_capitellata,0
Carex_capricornis,0
Carex_cardiolepis,0
Carex_careyana,0
Carex_caroliniana,0
Carex_carsei,0
Carex_caryophyllea,0
Carex_castanea,0
Carex_castanostachya,1
Carex_catamarcensis,0
Carex_cataphyllodes,1
Carex_cataractae,0
Carex_caudispicata,0
Carex_cavaleriensis,0
Carex_caxinensis,1
Carex_celebica,1
Carex_cephalophora,0
Carex_cephalotes,0
Carex_cercidascus,0
Carex_cespitosa,0
Carex_ceylanica,1
Carex_chaffanjonii,0
Carex_chalciolepis,0
Carex_changmuensis,0
Carex_chaofangii,0
Carex_chapmanii,0
Carex_chathamica,0
Carex_cheniana,0
